dim,vcycle_converged_with_allocation,vcycle_time_with_allocation,vcycle_iterations_with_allocation,wcycle_converged_with_allocation,wcycle_time_with_allocation,wcycle_iterations_with_allocation,standard_converged_with_allocation,standard_time_with_allocation,standard_iterations_with_allocation,vcycle_converged_no_allocation,vcycle_time_no_allocation,vcycle_iterations_no_allocation,wcycle_converged_no_allocation,wcycle_time_no_allocation,wcycle_iterations_no_allocation,standard_converged_no_allocation,standard_time_no_allocation,standard_iterations_no_allocation,vcycle_wu,wcycle_wu,standard_wu
512,1,5.218939542770386,27,1,11.414857864379883,12,,,,1,1.137005090713501,27,1,6.829216241836548,12,,,,223.9991455078125,155.6953125,
1024,1,10.927659511566162,27,1,20.948949813842773,11,,,,1,1.9407744407653809,27,1,11.792077779769897,11,,,,223.99978637695312,143.859375,
2048,1,30.943446397781372,28,1,47.237401247024536,10,,,,1,5.001777172088623,28,1,21.395725965499878,10,,,,231.99994468688965,131.935546875,
16,,,,,,,1,0.1997232437133789,200,,,,,,,1,0.0379488468170166,200,,,201.0
21,,,,,,,1,0.3040049076080322,300,,,,,,,1,0.04304194450378418,300,,,301.0
27,,,,,,,1,0.2096402645111084,400,,,,,,,1,0.04711508750915527,400,,,401.0
35,,,,,,,1,0.33103013038635254,800,,,,,,,1,0.06464314460754395,800,,,801.0
46,,,,,,,1,0.373685359954834,1600,,,,,,,1,0.10308480262756348,1600,,,1601.0
60,,,,,,,1,0.43825531005859375,2800,,,,,,,1,0.15822148323059082,2800,,,2801.0
78,,,,,,,1,0.4354701042175293,4600,,,,,,,1,0.2424778938293457,4600,,,4601.0
101,,,,,,,1,0.6031451225280762,7800,,,,,,,1,0.37987589836120605,7800,,,7801.0
131,,,,,,,1,1.0067591667175293,13400,,,,,,,1,0.6448569297790527,13400,,,13401.0
170,,,,,,,1,1.5993268489837646,22400,,,,,,,1,1.249211072921753,22400,,,22401.0
221,,,,,,,1,3.630896806716919,38000,,,,,,,1,3.0930521488189697,38000,,,38001.0
287,,,,,,,1,8.408957481384277,64200,,,,,,,1,7.759638547897339,64200,,,64201.0
373,,,,,,,1,23.88417649269104,108600,,,,,,,1,22.84966802597046,108600,,,108601.0
485,,,,,,,1,64.08265280723572,183600,,,,,,,1,62.50485825538635,183600,,,183601.0
630,,,,,,,1,179.74104189872742,310000,,,,,,,1,177.38189482688904,310000,,,310001.0
